Date;Coffee;Exam
25.09.2024;2 Large;0
26.09.2024;;0
27.09.2024;2 Large;0
28.09.2024;;0
29.09.2024;;0
30.09.2024;2 Mid;0
1.10.2024;;0
2.10.2024;1 Mid;0
3.10.2024;1 Mid;0
4.10.2024;;0
5.10.2024;;0
6.10.2024;;0
7.10.2024;1 Mid;0
8.10.2024;;0
9.10.2024;;0
10.10.2024;;0
11.10.2024;1 ColdBrew;0
12.10.2024;1 Cortado;0
13.10.2024;1 Mid;0
14.10.2024;1 Mid;0
15.10.2024;1 Mid;0
16.10.2024;1 Large;0
17.10.2024;1 Mid, 1 Large;0
18.10.2024;1 Large;0
19.10.2024;1 Mid;0
20.10.2024;1 Large;0
21.10.2024;1 Large;0
22.10.2024;1 Mid;0
23.10.2024;1 Mid;0
24.10.2024;;0
25.10.2024;;0
26.10.2024;1 Filter;0
27.10.2024;1 Filter;0
28.10.2024;;0
29.10.2024;;0
30.10.2024;1 BlackEye-1 Mid;0
31.10.2024;1 BlackEye;0
1.11.2024;2 Mid;0
2.11.2024;1 Mid;1
3.11.2024;1 Filter;0
4.11.2024;;0
5.11.2024;;0
6.11.2024;1 Mid;0
7.11.2024;1 Mid;0
8.11.2024;1 Filter;0
9.11.2024;1 Filter;0
10.11.2024;2 Mid-1 Cortado;1
11.11.2024;;0
12.11.2024;;0
13.11.2024;1 Cortado-2 Mid;0
14.11.2024;;0
15.11.2024;1 RedEye-1 Filter;0
16.11.2024;1 Filter;0
17.11.2024;1 Filter;1
18.11.2024;1 Filter;0
19.11.2024;1 Mid;0
20.11.2024;;0
21.11.2024;;0
22.11.2024;1 Mid;0
23.11.2024;1 Filter;0
24.11.2024;;0
25.11.2024;1 Filter;0
26.11.2024;;0
27.11.2024;;0
28.11.2024;1 RedEye;0
29.11.2024;1 Mid;0
30.11.2024;;0
1.12.2024;;0
2.12.2024;1 BlackEye;0
3.12.2024;1 Mid;0
4.12.2024;;0
5.12.2024;1 Mid;0
6.12.2024;1 Filter;0
7.12.2024;1 Cortado;0
8.12.2024;1 Cortado;1
9.12.2024;1 Cortado;0
10.12.2024;1 Filter;0
11.12.2024;1 Filter;0
12.12.2024;1 Cortado;1
13.12.2024;1 Filter;0
14.12.2024;1 Filter;1
15.12.2024;;0
16.12.2024;;0
17.12.2024;;0
18.12.2024;1 Filter;0
19.12.2024;1 Filter;0
20.12.2024;;0
21.12.2024;;0
22.12.2024;;0
23.12.2024;;0
24.12.2024;1 Mid;0
25.12.2024;;0
26.12.2024;;0
27.12.2024;1 Mid;0
28.12.2024;1 Filter;0
29.12.2024;;0
30.12.2024;1 Filter;0
31.12.2024;1 Filter;0
1.01.2025;1 Filter;0
2.01.2025;1 Filter;0
3.01.2025;1 Filter;1
4.01.2025;;0
5.01.2025;1 Mid;1
6.01.2025;1 Cortado;0
7.01.2025;;1
8.01.2025;1 Filter;0
9.01.2025;;0
10.01.2025;;0
11.01.2025;1 Large;0
12.01.2025;;1
13.01.2025;;0
14.01.2025;;0
15.01.2025;;0
16.01.2025;;0
17.01.2025;;0
18.01.2025;;0
19.01.2025;;0
20.01.2025;;0
21.01.2025;;0
22.01.2025;;0
23.01.2025;;0
24.01.2025;;0
25.01.2025;;0
26.01.2025;;0
27.01.2025;;0
28.01.2025;;0
29.01.2025;;0
30.01.2025;;0
31.01.2025;;0
1.02.2025;;0
2.02.2025;;0
3.02.2025;;0
4.02.2025;;0
5.02.2025;1 Mid;0
6.02.2025;;0
7.02.2025;;0
8.02.2025;;0
9.02.2025;;0
10.02.2025;2 Mid;0
11.02.2025;1 Mid;0
12.02.2025;;0
13.02.2025;1 Mid;0
14.02.2025;1 Mid;0
15.02.2025;;0
16.02.2025;;0
17.02.2025;1 Filter;0
18.02.2025;;0
19.02.2025;1 Mid;0
20.02.2025;1 Mid;0
21.02.2025;1 Filter;0
22.02.2025;1 Filter;0
23.02.2025;1 Mid;2
24.02.2025;;0
25.02.2025;1 RedEye;0
26.02.2025;1 Mid;0
27.02.2025;1 RedEye-1 Mid;0
28.02.2025;1 Filter;0
1.03.2025;;0
2.03.2025;1 Filter;0
3.03.2025;1 RedEye;0
4.03.2025;1 Filter;0
5.03.2025;1 Mid;0
6.03.2025;;0
7.03.2025;1 Filter;0
8.03.2025;1 Filter;0
9.03.2025;1 Filter;0
10.03.2025;;0
11.03.2025;1 Mid;0
12.03.2025;1 Mid;0
13.03.2025;;0
14.03.2025;1 Filter;0
15.03.2025;1 Filter;0
16.03.2025;;1
17.03.2025;;0
18.03.2025;1 Mid;0
19.03.2025;;0
20.03.2025;;0
21.03.2025;2 Mid;0
22.03.2025;;1
23.03.2025;;0
24.03.2025;1 Filter;0
25.03.2025;;1
26.03.2025;;0
27.03.2025;;0
28.03.2025;;0
29.03.2025;;0
30.03.2025;;0
31.03.2025;;0
1.04.2025;;0
2.04.2025;;0
3.04.2025;;0
4.04.2025;;0
5.04.2025;;0
6.04.2025;;0
7.04.2025;1 Mid;0
8.04.2025;1 Filter;0
9.04.2025;;0
10.04.2025;;0
11.04.2025;;0
12.04.2025;;0
13.04.2025;1 Mid;1
14.04.2025;2 Mid-1 Filter;0
15.04.2025;;0
16.04.2025;;0
17.04.2025;;0
18.04.2025;;0
19.04.2025;;0
20.04.2025;;0
21.04.2025;;0
22.04.2025;;0
23.04.2025;;0
24.04.2025;1 Cortado;0
25.04.2025;;0
26.04.2025;;0
27.04.2025;;1
28.04.2025;;0
29.04.2025;;0
30.04.2025;;0
1.05.2025;;0
2.05.2025;;0
3.05.2025;;1
4.05.2025;;0
5.05.2025;;0
6.05.2025;;0
7.05.2025;;0
8.05.2025;;0
9.05.2025;;0
10.05.2025;;0
11.05.2025;;0
12.05.2025;;0
13.05.2025;;0
14.05.2025;;0
15.05.2025;;0
16.05.2025;;0
17.05.2025;;0
18.05.2025;;0
19.05.2025;;0
20.05.2025;;0
21.05.2025;;0
22.05.2025;;0
23.05.2025;;0
